🚀 Running flow: single_layer
2026-03-10 09:51:39 │ INFO     │ prefect │ Starting temporary server on http://127.0.0.1:8523
See https://docs.prefect.io/v3/concepts/server#how-to-guides for more information on running a dedicated Prefect server.
2026-03-10 09:51:43 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/health "HTTP/1.1 200 OK"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/admin/version "HTTP/1.1 200 OK"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/csrf-token?client=013b68ee-115b-4ced-bb7d-502cb7f6ef73 "HTTP/1.1 422 Unprocessable Entity"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: POST http://127.0.0.1:8523/api/flows/ "HTTP/1.1 200 OK"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: POST http://127.0.0.1:8523/api/flow_runs/ "HTTP/1.1 201 Created"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: POST http://127.0.0.1:8523/api/flow_runs/a75072bf-a8c0-4655-bf6d-bc377f46e566/set_state "HTTP/1.1 201 Created"
2026-03-10 09:51:44 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/flow_runs/a75072bf-a8c0-4655-bf6d-bc377f46e566 "HTTP/1.1 200 OK"
2026-03-10 09:51:44 │ INFO     │ prefect.flow_runs │ Beginning flow run 'flexible-gerbil' for flow 'single_layer'
2026-03-10 09:51:44 │ INFO     │ orchestrator.db │ Supabase client initialised for http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io
2026-03-10 09:51:45 │ INFO     │ httpx │ HTTP Request: POST http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/orchestration_runs "HTTP/1.1 201 Created"
2026-03-10 09:51:45 │ INFO     │ orchestrator.db │ Created orchestration_run 840fd953-cc07-4f90-99c4-6e74c9525f86 (flow=single_layer:prebronze_to_bronze, source=openfoodfacts)
2026-03-10 09:51:46 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/csrf-token?client=6f5ad0da-e0ca-4470-b448-6e941d2fc2d7 "HTTP/1.1 422 Unprocessable Entity"
2026-03-10 09:51:46 │ INFO     │ httpx │ HTTP Request: GET http://127.0.0.1:8523/api/flows/7afecf62-2ac5-4ce5-a928-d9a57a33d094 "HTTP/1.1 200 OK"
2026-03-10 09:51:46 │ INFO     │ httpx │ HTTP Request: POST http://127.0.0.1:8523/api/logs/ "HTTP/1.1 201 Created"
2026-03-10 09:51:46 │ INFO     │ httpx │ HTTP Request: GET http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/orchestration_runs?select=%2A&id=eq.840fd953-cc07-4f90-99c4-6e74c9525f86&limit=1 "HTTP/1.1 200 OK"
2026-03-10 09:51:47 │ INFO     │ httpx │ HTTP Request: GET http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/pipeline_definitions?select=%2A&pipeline_name=eq.prebronze_to_bronze&limit=1 "HTTP/1.1 200 OK"
2026-03-10 09:51:47 │ INFO     │ httpx │ HTTP Request: POST http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/pipeline_runs "HTTP/1.1 201 Created"
2026-03-10 09:51:47 │ INFO     │ orchestrator.db │ Created pipeline_run 81cdb616-0d2a-4fd8-aad0-40a735465aa8 (pipeline=prebronze_to_bronze, orch_run=840fd953-cc07-4f90-99c4-6e74c9525f86)
2026-03-10 09:51:48 │ INFO     │ httpx │ HTTP Request: PATCH http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/orchestration_runs?id=eq.840fd953-cc07-4f90-99c4-6e74c9525f86 "HTTP/1.1 200 OK"
2026-03-10 09:51:48 │ INFO     │ httpx │ HTTP Request: GET http://supabasekong-wk8c40o0kokcogw4wksc8s48.207.244.226.234.sslip.io/rest/v1/pipeline_definitions?select=%2A&pipeline_name=eq.prebronze_to_bronze&limit=1 "HTTP/1.1 200 OK"
2026-03-10 09:51:48 │ INFO     │ orchestrator.pipelines │ 🚀 Starting PreBronze→Bronze (source=openfoodfacts, records=100, timeout=None)
2026-03-10 09:51:48 │ INFO     │ orchestrator.pipelines │ 🔧 Subprocess: prebronze.orchestrator --input C:\Users\SOURAV~1\AppData\Local\Temp\prebronze_81cdb616-0d2a-4fd8-aad0-40a735465aa8_o0kva54w.json --source-name openfoodfacts --ingestion-run-id 81cdb616-0d2a-4fd8-aad0-40a735465aa8 --skip-translation --vendor-id df4f1454-09e5-418e-b71f-462477fb1cc6 (timeout=None)
2026-03-10 09:51:54 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:51:54,340 INFO __main__ Vendor ID (metadata): df4f1454-09e5-418e-b71f-462477fb1cc6
2026-03-10 09:51:54 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:51:54,344 INFO prebronze.tools.core map_tables: structural detection → raw_products (product_name=True, nested_ingredients=True, barcode=True, nutriments_obj=True)
2026-03-10 09:51:59 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:51:59,991 INFO httpx HTTP Request: POST https://litellm.confer.today/chat/completions "HTTP/1.1 200 OK"
2026-03-10 09:51:59 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:51:59,994 INFO prebronze.tools.core map_tables → raw_products (confidence=0.98)
2026-03-10 09:52:00 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:52:00,064 INFO prebronze.tools.core Priority cascade resolved must-have fields: ['name', 'source_record_id']
2026-03-10 09:53:46 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:53:46,586 INFO httpx HTTP Request: POST https://litellm.confer.today/chat/completions "HTTP/1.1 200 OK"
2026-03-10 09:53:46 │ WARNING  │ orchestrator.pipelines │ [prebronze_to_bronze:stderr] 2026-03-10 09:53:46,589 INFO prebronze.tools.core infer_schema_and_map_columns → mapped 100 rows with 302 unique columns
